complaint_id,complainant_ethnicity,complainant_gender,complainant_age_incident,fado_type,allegation,precinct,board_disposition
42835,Black,Female,38.0,Abuse of Authority,Failure to provide RTKA card,78.0,Substantiated (Command Lvl Instructions)
24601,Black,Male,26.0,Discourtesy,Action,67.0,Substantiated (Charges)
24601,Black,Male,26.0,Offensive Language,Race,67.0,Substantiated (Charges)
26146,Black,Male,45.0,Abuse of Authority,Question,67.0,Substantiated (Charges)
37256,White,Male,31.0,Abuse of Authority,Refusal to process civilian complaint,78.0,Substantiated (Command Lvl Instructions)
33969,White,Male,34.0,Offensive Language,Sexual orientation,78.0,Substantiated (Formalized Training)
40070,Asian,Male,60.0,Discourtesy,Word,78.0,Unsubstantiated
41927,Asian,Male,39.0,Abuse of Authority,Refusal to provide shield number,78.0,Unsubstantiated
41927,Asian,Male,39.0,Abuse of Authority,Retaliatory summons,78.0,Substantiated (Command Discipline A)
35092,Black,Male,30.0,Abuse of Authority,Search (of person),79.0,Unsubstantiated
26353,Black,Male,35.0,Force,Pepper spray,79.0,Unsubstantiated
27482,Black,Female,42.0,Force,Physical force,79.0,Exonerated
27482,Black,Female,42.0,Offensive Language,Race,79.0,Unsubstantiated
27482,Black,Male,46.0,Force,Handcuffs too tight,79.0,Unsubstantiated
29270,Black,Male,34.0,Discourtesy,Word,79.0,Unsubstantiated
29270,Black,Female,30.0,Force,Physical force,79.0,Unsubstantiated
31069,Black,Male,23.0,Abuse of Authority,Frisk,79.0,Unsubstantiated
32450,Hispanic,Male,29.0,Abuse of Authority,Frisk,79.0,Substantiated (Command Discipline A)
32450,Hispanic,Male,29.0,Abuse of Authority,Question,79.0,Substantiated (Command Discipline A)
32450,Hispanic,Male,29.0,Abuse of Authority,Vehicle stop,79.0,Substantiated (Command Discipline A)
32450,Hispanic,Male,29.0,Abuse of Authority,Search (of person),79.0,Substantiated (Command Discipline A)
32450,Hispanic,Male,29.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline A)
32450,Hispanic,Male,29.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Discipline A)
33608,Black,Male,35.0,Abuse of Authority,Vehicle stop,79.0,Unsubstantiated
35092,Black,Male,30.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
35092,Black,Male,30.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
35092,Black,Male,30.0,Abuse of Authority,Strip-searched,79.0,Unsubstantiated
39110,Black,Female,29.0,Abuse of Authority,Refusal to provide name/shield number,67.0,Unsubstantiated
41125,Black,Male,28.0,Abuse of Authority,Threat of arrest,67.0,Unsubstantiated
41125,Black,Male,28.0,Abuse of Authority,Search (of person),67.0,Unsubstantiated
41125,Black,Male,28.0,Abuse of Authority,Vehicle stop,67.0,Unsubstantiated
41125,Black,Male,28.0,Abuse of Authority,Frisk,67.0,Substantiated (Command Discipline B)
41169,Black,Male,29.0,Abuse of Authority,Vehicle stop,67.0,Unsubstantiated
41178,Black,Male,60.0,Abuse of Authority,Vehicle stop,67.0,Exonerated
41178,Black,Male,60.0,Abuse of Authority,Failure to provide RTKA card,67.0,Unsubstantiated
21254,Black,Male,22.0,Abuse of Authority,Threat of force (verbal or physical),79.0,Substantiated (Charges)
21254,Black,Female,26.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Charges)
21254,Black,Male,22.0,Discourtesy,Word,79.0,Substantiated (Charges)
24891,Black,Male,33.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Unsubstantiated
33510,Black,Male,17.0,Abuse of Authority,Frisk,77.0,Substantiated (Command Discipline B)
33510,Black,Male,17.0,Abuse of Authority,Stop,77.0,Substantiated (Command Discipline B)
35363,Black,Male,30.0,Abuse of Authority,Vehicle stop,81.0,Unsubstantiated
35363,Black,Male,22.0,Abuse of Authority,Search (of person),81.0,Exonerated
35363,Black,Male,22.0,Abuse of Authority,Frisk,81.0,Exonerated
37921,Black,Male,28.0,Abuse of Authority,Refusal to obtain medical treatment,79.0,Unsubstantiated
37921,Black,Male,28.0,Abuse of Authority,Stop,79.0,Exonerated
21803,Black,Female,15.0,Abuse of Authority,Frisk,73.0,Substantiated (Charges)
5149,Hispanic,Male,22.0,Force,Hit against inanimate object,90.0,Exonerated
5267,Black,Male,50.0,Force,Physical force,79.0,Exonerated
5267,Black,Male,15.0,Force,Physical force,79.0,Exonerated
5547,Hispanic,Male,17.0,Force,Physical force,79.0,Exonerated
5946,Hispanic,Female,17.0,Discourtesy,Word,90.0,Unsubstantiated
14557,Black,Female,23.0,Abuse of Authority,Refusal to provide name/shield number,73.0,Unsubstantiated
6150,Black,Male,27.0,Abuse of Authority,Frisk and/or search,79.0,Exonerated
6150,Black,Male,27.0,Abuse of Authority,Other,79.0,Exonerated
6150,Black,Male,27.0,Abuse of Authority,Question and/or stop,79.0,Exonerated
7402,Black,Male,17.0,Abuse of Authority,Question and/or stop,79.0,Exonerated
7402,Black,Male,17.0,Abuse of Authority,Threat of arrest,79.0,Unsubstantiated
7402,Black,Male,17.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Charges)
7402,Black,Male,17.0,Abuse of Authority,Frisk and/or search,79.0,Substantiated (Charges)
12546,Black,Male,15.0,Abuse of Authority,Search (of person),75.0,Exonerated
12546,Black,Male,15.0,Discourtesy,Word,75.0,Unsubstantiated
12546,Black,Male,15.0,Abuse of Authority,Refusal to provide name/shield number,75.0,Unsubstantiated
12546,Black,Male,15.0,Force,Physical force,75.0,Unsubstantiated
15830,Hispanic,Male,23.0,Abuse of Authority,Threat of force (verbal or physical),120.0,Unsubstantiated
15830,Hispanic,Male,23.0,Discourtesy,Word,120.0,Unsubstantiated
15830,Hispanic,Male,23.0,Force,Physical force,120.0,Exonerated
18085,Black,Male,24.0,Abuse of Authority,Threat of force (verbal or physical),75.0,Unsubstantiated
18085,Black,Male,24.0,Discourtesy,Word,75.0,Unsubstantiated
19329,Black,Male,22.0,Force,Physical force,75.0,Unsubstantiated
21479,Black,Male,27.0,Discourtesy,Word,75.0,Unsubstantiated
21479,Black,Male,27.0,Abuse of Authority,Threat of force (verbal or physical),75.0,Unsubstantiated
21479,Black,Male,27.0,Offensive Language,Race,75.0,Unsubstantiated
21479,Black,Male,27.0,Force,Physical force,75.0,Exonerated
21823,Hispanic,Male,,Discourtesy,Word,75.0,Unsubstantiated
21823,Hispanic,Male,,Abuse of Authority,Threat of force (verbal or physical),75.0,Unsubstantiated
24393,Black,Male,26.0,Force,Physical force,75.0,Unsubstantiated
24393,Black,Male,26.0,Abuse of Authority,Stop,75.0,Substantiated (Instructions)
27444,Black,Male,28.0,Offensive Language,Race,75.0,Unsubstantiated
27952,Hispanic,Male,29.0,Abuse of Authority,Threat of arrest,75.0,Substantiated (Charges)
27952,Hispanic,Male,29.0,Abuse of Authority,Question,75.0,Substantiated (Charges)
28662,Black,Female,43.0,Discourtesy,Word,75.0,Unsubstantiated
36053,Black,Male,37.0,Abuse of Authority,Threat of force (verbal or physical),79.0,Unsubstantiated
36053,Black,Male,37.0,Abuse of Authority,Threat of force (verbal or physical),79.0,Unsubstantiated
33764,Hispanic,Male,34.0,Force,Nonlethal restraining device,10.0,Unsubstantiated
33764,Hispanic,Male,34.0,Abuse of Authority,Threat of arrest,10.0,Unsubstantiated
33833,Black,Male,30.0,Abuse of Authority,Threat of arrest,10.0,Exonerated
33833,Black,Male,30.0,Abuse of Authority,Search (of person),10.0,Unsubstantiated
33764,Hispanic,Male,34.0,Force,Nonlethal restraining device,10.0,Exonerated
33833,Black,Male,30.0,Abuse of Authority,Frisk,10.0,Substantiated (Formalized Training)
10247,Other Race,Male,23.0,Discourtesy,Word,25.0,Unsubstantiated
10247,Other Race,Male,23.0,Abuse of Authority,Question and/or stop,25.0,Exonerated
10247,White,Male,29.0,Abuse of Authority,Retaliatory arrest,25.0,Exonerated
12847,Black,Male,39.0,Force,Physical force,25.0,Unsubstantiated
16527,Hispanic,Male,25.0,Force,Physical force,25.0,Unsubstantiated
23542,Hispanic,Female,43.0,Force,Physical force,110.0,Exonerated
23542,Hispanic,Male,15.0,Force,Physical force,110.0,Unsubstantiated
23542,Hispanic,Female,43.0,Discourtesy,Word,110.0,Exonerated
25743,Hispanic,Male,19.0,Abuse of Authority,Frisk,110.0,Substantiated (Charges)
25743,Hispanic,Male,19.0,Abuse of Authority,Search (of person),110.0,Unsubstantiated
27043,Hispanic,Male,25.0,Abuse of Authority,Vehicle stop,110.0,Unsubstantiated
27043,Hispanic,Male,22.0,Abuse of Authority,Search (of person),110.0,Unsubstantiated
27043,Hispanic,Male,22.0,Abuse of Authority,Vehicle search,110.0,Substantiated (Charges)
27043,Hispanic,Male,22.0,Abuse of Authority,Frisk,110.0,Substantiated (Charges)
27043,Hispanic,Male,25.0,Abuse of Authority,Vehicle search,110.0,Substantiated (Charges)
27651,Hispanic,Male,25.0,Abuse of Authority,Frisk,110.0,Unsubstantiated
27651,Hispanic,Male,25.0,Abuse of Authority,Search (of person),110.0,Unsubstantiated
33550,White,Male,27.0,Abuse of Authority,Stop,83.0,Exonerated
33550,White,Male,27.0,Abuse of Authority,Frisk,83.0,Exonerated
32450,Hispanic,Male,29.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Discipline A)
25092,Black,Male,47.0,Abuse of Authority,Stop,79.0,Unsubstantiated
25508,Black,Male,20.0,Abuse of Authority,Vehicle stop,79.0,Unsubstantiated
25508,Black,Male,,Abuse of Authority,Search (of person),79.0,Unsubstantiated
32450,Hispanic,Male,29.0,Abuse of Authority,Vehicle stop,79.0,Substantiated (Command Discipline A)
37250,Black,Male,46.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline A)
37250,Black,Male,46.0,Abuse of Authority,Vehicle stop,79.0,Substantiated (Command Discipline A)
37250,Black,Male,46.0,Abuse of Authority,Frisk,79.0,Substantiated (Command Discipline A)
