New York City


Detailed Race and Ethnicity
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"8,804,190",100.0%,"8,804,190",100.0%,0,0.0
Hispanic or Latino (of any race),,,,,,
Mexican,"338,530",3.8%,"338,530",3.8%,0,0.0
Central American,"176,065",2.0%,"176,065",2.0%,0,0.0
Costa Rican,"7,052",0.1%,"7,052",0.1%,0,0.0
Guatemalan,"42,499",0.5%,"42,499",0.5%,0,0.0
Honduran,"47,396",0.5%,"47,396",0.5%,0,0.0
Nicaraguan,"9,730",0.1%,"9,730",0.1%,0,0.0
Panamanian,"23,036",0.3%,"23,036",0.3%,0,0.0
Salvadoran,"44,747",0.5%,"44,747",0.5%,0,0.0
South American,"394,232",4.5%,"394,232",4.5%,0,0.0
Argentinean,"15,778",0.2%,"15,778",0.2%,0,0.0
Bolivian,"4,731",0.1%,"4,731",0.1%,0,0.0
Chilean,"7,841",0.1%,"7,841",0.1%,0,0.0
Colombian,"107,126",1.2%,"107,126",1.2%,0,0.0
Ecuadorian,"190,926",2.2%,"190,926",2.2%,0,0.0
Paraguayan,"4,210",0.0%,"4,210",0.0%,0,0.0
Peruvian,"38,565",0.4%,"38,565",0.4%,0,0.0
Uruguayan,"2,896",0.0%,"2,896",0.0%,0,0.0
Venezuelan,"17,734",0.2%,"17,734",0.2%,0,0.0
Caribbean Hispanic,"1,338,629",15.2%,"1,338,629",15.2%,0,0.0
Cuban,"39,403",0.4%,"39,403",0.4%,0,0.0
Dominican,"702,330",8.0%,"702,330",8.0%,0,0.0
Puerto Rican,"595,627",6.8%,"595,627",6.8%,0,0.0
"Other Hispanic, Latino, or Spanish","242,802",2.8%,"242,802",2.8%,0,0.0
Spaniard,"24,833",0.3%,"24,833",0.3%,0,0.0
Spanish,"19,498",0.2%,"19,498",0.2%,0,0.0
Spanish American,"1,908",0.0%,"1,908",0.0%,0,0.0
Garifuna,"2,742",0.0%,"2,742",0.0%,0,0.0
White,,,,,,
European,"1,873,022",21.3%,"1,873,022",21.3%,0,0.0
Albanian,"42,029",0.5%,"42,029",0.5%,0,0.0
Armenian,"12,358",0.1%,"12,358",0.1%,0,0.0
Austrian,"22,846",0.3%,"22,846",0.3%,0,0.0
Azerbaijani,"2,422",0.0%,"2,422",0.0%,0,0.0
Belarusian,"7,810",0.1%,"7,810",0.1%,0,0.0
Belgian,"5,304",0.1%,"5,304",0.1%,0,0.0
Bosnian and Herzegovinian,"2,503",0.0%,"2,503",0.0%,0,0.0
British,"16,397",0.2%,"16,397",0.2%,0,0.0
Bulgarian,"4,156",0.0%,"4,156",0.0%,0,0.0
Croatian,"10,702",0.1%,"10,702",0.1%,0,0.0
Cypriot,"1,457",0.0%,"1,457",0.0%,0,0.0
Czech,"14,523",0.2%,"14,523",0.2%,0,0.0
Danish,"10,346",0.1%,"10,346",0.1%,0,0.0
Dutch,"28,976",0.3%,"28,976",0.3%,0,0.0
English,"279,287",3.2%,"279,287",3.2%,0,0.0
Estonian,"1,118",0.0%,"1,118",0.0%,0,0.0
Finnish,"5,408",0.1%,"5,408",0.1%,0,0.0
French,"89,913",1.0%,"89,913",1.0%,0,0.0
Georgian,"8,749",0.1%,"8,749",0.1%,0,0.0
German,"309,585",3.5%,"309,585",3.5%,0,0.0
Greek,"69,618",0.8%,"69,618",0.8%,0,0.0
Hungarian,"39,664",0.5%,"39,664",0.5%,0,0.0
Irish,"439,367",5.0%,"439,367",5.0%,0,0.0
Italian,"509,081",5.8%,"509,081",5.8%,0,0.0
Kosovan,"1,093",0.0%,"1,093",0.0%,0,0.0
Latvian,"3,664",0.0%,"3,664",0.0%,0,0.0
Lithuanian,"15,219",0.2%,"15,219",0.2%,0,0.0
Macedonian,"1,683",0.0%,"1,683",0.0%,0,0.0
Maltese,"2,264",0.0%,"2,264",0.0%,0,0.0
Moldovan,"2,302",0.0%,"2,302",0.0%,0,0.0
Montenegrin,"4,486",0.1%,"4,486",0.1%,0,0.0
Norwegian,"25,776",0.3%,"25,776",0.3%,0,0.0
Polish,"169,409",1.9%,"169,409",1.9%,0,0.0
Portuguese,"17,565",0.2%,"17,565",0.2%,0,0.0
Romanian,"20,364",0.2%,"20,364",0.2%,0,0.0
Russian,"185,445",2.1%,"185,445",2.1%,0,0.0
Scandinavian,"7,816",0.1%,"7,816",0.1%,0,0.0
Scots-Irish,"4,702",0.1%,"4,702",0.1%,0,0.0
Scottish,"71,534",0.8%,"71,534",0.8%,0,0.0
Serbian,"6,268",0.1%,"6,268",0.1%,0,0.0
Slavic,"2,766",0.0%,"2,766",0.0%,0,0.0
Slovak,"8,165",0.1%,"8,165",0.1%,0,0.0
Slovenian,"2,063",0.0%,"2,063",0.0%,0,0.0
Swedish,"29,787",0.3%,"29,787",0.3%,0,0.0
Swiss,"11,065",0.1%,"11,065",0.1%,0,0.0
Turkish,"17,168",0.2%,"17,168",0.2%,0,0.0
Ukrainian,"55,577",0.6%,"55,577",0.6%,0,0.0
Welsh,"16,510",0.2%,"16,510",0.2%,0,0.0
Middle Eastern or North African,"183,946",2.1%,"183,946",2.1%,0,0.0
Algerian,"3,610",0.0%,"3,610",0.0%,0,0.0
Arab,"17,669",0.2%,"17,669",0.2%,0,0.0
Egyptian,"34,338",0.4%,"34,338",0.4%,0,0.0
Iranian,"14,139",0.2%,"14,139",0.2%,0,0.0
Iraqi,"2,000",0.0%,"2,000",0.0%,0,0.0
Israeli,"25,026",0.3%,"25,026",0.3%,0,0.0
Jordanian,"2,367",0.0%,"2,367",0.0%,0,0.0
Lebanese,"18,273",0.2%,"18,273",0.2%,0,0.0
Moroccan,"12,153",0.1%,"12,153",0.1%,0,0.0
Palestinian,"6,825",0.1%,"6,825",0.1%,0,0.0
Syrian,"11,917",0.1%,"11,917",0.1%,0,0.0
Tunisian,"1,073",0.0%,"1,073",0.0%,0,0.0
Yemeni,"18,454",0.2%,"18,454",0.2%,0,0.0
Other White,"1,583,722",18.0%,"1,583,722",18.0%,0,0.0
Australian,"8,047",0.1%,"8,047",0.1%,0,0.0
Canadian,"12,021",0.1%,"12,021",0.1%,0,0.0
French Canadian,"7,855",0.1%,"7,855",0.1%,0,0.0
New Zealander,"1,224",0.0%,"1,224",0.0%,0,0.0
Black or African American,,,,,,
African American,"848,316",9.6%,"848,316",9.6%,0,0.0
Sub-Saharan African,"158,476",1.8%,"158,476",1.8%,0,0.0
Burkinabe,"2,181",0.0%,"2,181",0.0%,0,0.0
Cameroonian,"1,753",0.0%,"1,753",0.0%,0,0.0
Congolese,"1,384",0.0%,"1,384",0.0%,0,0.0
Ethiopian,"3,994",0.0%,"3,994",0.0%,0,0.0
Gambian,"3,138",0.0%,"3,138",0.0%,0,0.0
Ghanaian,"22,429",0.3%,"22,429",0.3%,0,0.0
Guinean,"5,374",0.1%,"5,374",0.1%,0,0.0
Ivoirian,"3,297",0.0%,"3,297",0.0%,0,0.0
Kenyan,"1,132",0.0%,"1,132",0.0%,0,0.0
Liberian,"2,713",0.0%,"2,713",0.0%,0,0.0
Malian,"3,061",0.0%,"3,061",0.0%,0,0.0
Nigerian (Nigeria),"37,587",0.4%,"37,587",0.4%,0,0.0
Senegalese,"5,950",0.1%,"5,950",0.1%,0,0.0
Sierra Leonean,"1,830",0.0%,"1,830",0.0%,0,0.0
South African,"3,248",0.0%,"3,248",0.0%,0,0.0
Sudanese,"1,784",0.0%,"1,784",0.0%,0,0.0
Togolese,"1,979",0.0%,"1,979",0.0%,0,0.0
Caribbean,"465,949",5.3%,"465,949",5.3%,0,0.0
Antiguan and Barbudan,"5,461",0.1%,"5,461",0.1%,0,0.0
Bahamian,"1,111",0.0%,"1,111",0.0%,0,0.0
Barbadian,"16,344",0.2%,"16,344",0.2%,0,0.0
Dominica Islander,"2,073",0.0%,"2,073",0.0%,0,0.0
Grenadian,"13,283",0.2%,"13,283",0.2%,0,0.0
Haitian,"116,756",1.3%,"116,756",1.3%,0,0.0
Jamaican,"194,481",2.2%,"194,481",2.2%,0,0.0
Kittian and Nevisian,"1,885",0.0%,"1,885",0.0%,0,0.0
St. Lucian,"6,578",0.1%,"6,578",0.1%,0,0.0
Trinidadian and Tobagonian,"58,382",0.7%,"58,382",0.7%,0,0.0
U.S. Virgin Islander,"1,376",0.0%,"1,376",0.0%,0,0.0
Vincentian,"7,224",0.1%,"7,224",0.1%,0,0.0
West Indian,"35,237",0.4%,"35,237",0.4%,0,0.0
Other Black or African American,"821,536",9.3%,"821,536",9.3%,0,0.0
American Indian and Alaska Native,,,,,,
Alaska Native,"1,078",0.0%,"1,078",0.0%,0,0.0
American Indian,"45,490",0.5%,"45,490",0.5%,0,0.0
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,"3,677",0.0%,"3,677",0.0%,0,0.0
Cherokee,"8,472",0.1%,"8,472",0.1%,0,0.0
Central American Indian (all tribes),"2,610",0.0%,"2,610",0.0%,0,0.0
Mexican Indian (all tribes),"23,686",0.3%,"23,686",0.3%,0,0.0
Aztec,"20,818",0.2%,"20,818",0.2%,0,0.0
South American Indian (all tribes),"12,633",0.1%,"12,633",0.1%,0,0.0
Ecuadorian Indian,"1,104",0.0%,"1,104",0.0%,0,0.0
Guyanese South American Indian,"4,077",0.0%,"4,077",0.0%,0,0.0
Inca,"3,238",0.0%,"3,238",0.0%,0,0.0
Caribbean Indian (all tribes),"22,869",0.3%,"22,869",0.3%,0,0.0
Taino,"18,283",0.2%,"18,283",0.2%,0,0.0
Mesoamerican Indian (all tribes),"10,066",0.1%,"10,066",0.1%,0,0.0
Maya,"10,137",0.1%,"10,137",0.1%,0,0.0
Asian,,,,,,
East Asian,"834,289",9.5%,"834,289",9.5%,0,0.0
"Chinese, except Taiwanese","678,792",7.7%,"678,792",7.7%,0,0.0
Japanese,"38,640",0.4%,"38,640",0.4%,0,0.0
Korean,"105,204",1.2%,"105,204",1.2%,0,0.0
Taiwanese,"17,473",0.2%,"17,473",0.2%,0,0.0
Central Asian,"39,901",0.5%,"39,901",0.5%,0,0.0
Afghan,"5,546",0.1%,"5,546",0.1%,0,0.0
Kazakh,"2,418",0.0%,"2,418",0.0%,0,0.0
Kyrgyz,"1,157",0.0%,"1,157",0.0%,0,0.0
Tajik,"2,909",0.0%,"2,909",0.0%,0,0.0
Uzbek,"26,342",0.3%,"26,342",0.3%,0,0.0
South Asian,"447,064",5.1%,"447,064",5.1%,0,0.0
Asian Indian,"255,863",2.9%,"255,863",2.9%,0,0.0
Bangladeshi,"103,399",1.2%,"103,399",1.2%,0,0.0
Nepalese,"15,839",0.2%,"15,839",0.2%,0,0.0
Pakistani,"63,843",0.7%,"63,843",0.7%,0,0.0
Sikh,"4,655",0.1%,"4,655",0.1%,0,0.0
Sri Lankan,"6,655",0.1%,"6,655",0.1%,0,0.0
Southeast Asian,"153,620",1.7%,"153,620",1.7%,0,0.0
Burmese,"6,387",0.1%,"6,387",0.1%,0,0.0
Cambodian,"3,231",0.0%,"3,231",0.0%,0,0.0
Filipino,"98,764",1.1%,"98,764",1.1%,0,0.0
Indonesian,"6,894",0.1%,"6,894",0.1%,0,0.0
Malaysian,"4,600",0.1%,"4,600",0.1%,0,0.0
Singaporean,"1,043",0.0%,"1,043",0.0%,0,0.0
Thai,"9,566",0.1%,"9,566",0.1%,0,0.0
Vietnamese,"22,960",0.3%,"22,960",0.3%,0,0.0
Other Asian,"67,027",0.8%,"67,027",0.8%,0,0.0
Native Hawaiian and Other Pacific Islander,,,,,,
